document_id,external_id,name,file_path
7736766,2-s2.0-85007423421,Energy-efficiency and environmental policies & income supplements in the UK: Evolution and distributional impacts on domestic energy bills,
36063,2-s2.0-85089132209,Co-benefits to children’s health of the u.S. regional greenhouse gas initiative,
1387443,2-s2.0-85092892988,Effect of London cycle hire scheme on bicycle safety,
5263268216,2-s2.0-85175562828,An Empirical Analysis of the Impacts of Investment Incentives on Provincial Economic Growth in Turkey1,
81872555,2-s2.0-105003832799,"How digitalization, renewable energy, and natural resources shape environmental excellence? Evidence from China using a Quantile-on-Quantile framework",
4467027666,2-s2.0-84901751953,Life cycle assessment of heavy-duty truck for highway transport in China,
2812771,2-s2.0-0030750647,Environmental valuation - To use or not to use? A comparative study of the United States and Europe,
46288059,2-s2.0-85137887999,Impact of insulation materials and wall types of reference buildings on building energy efficiency with three methods in Çorum city,
31045,2-s2.0-79957505768,The housing transition in Mexico: Expanding access to housing finance,
70274810,2-s2.0-105037749434,Digital governance and environmental management: Empirical evidence on urban air quality improvement in RCEP member countries,
1518,2-s2.0-85006515831,A Rating System for Integrating Building Performance Tools in Developing Countries,
609458310,2-s2.0-85188940782,Rural household energy transition in China: Trends and challenges,
428794018,2-s2.0-105017111298,Revealing the power of market-based energy policy: Evidence from China's energy quota trading system using machine learning,
2189727897,2-s2.0-85183674183,Does carbon emission trading policy induce financialization of non-financial firms? Evidence from China,
31231311,2-s2.0-105009709398,Application of the distributed photovoltaic systems towards oil-gas field and its implications for carbon emission reduction in China: A review on current and novel perspective on engineering approaches,
2040920338,2-s2.0-85137145356,"Product Quality Measurement, Dynamic Changes, and the Belt and Road Initiative Distribution Characteristics: Evidence from Chinese Wooden Furniture Exports",
61958,2-s2.0-0031424189,An empirical analysis of the political economy of tariffs,
18466,2-s2.0-85114987624,Government green environmental concerns and corporate real investment decisions: Does financial sector development matter?,
6605,2-s2.0-105008465156,Environmental protection tax and green innovation: an “open awareness” perspective,
7001,2-s2.0-84862219433,Impact review of past UK public industrial energy efficiency RD&D programmes,
6757417,2-s2.0-85202571930,Impacts of state tax and resource ownership policies on extraction: Evidence from U.S. natural gas production,
729764672,2-s2.0-105033466962,How does the Belt and Road Initiative (BRI) Promote Economic Growth of BRI Countries? The Role of International Trade Network,
75472,2-s2.0-105024192078,Does the coordinated development of two-way FDI reduce CO2 emissions by technological progress? Evidence from China,
1382924608,2-s2.0-105035017374,The impact of the carbon emissions trading scheme on corporate debt maturity structure: evidence from double machine learning,
184095334,2-s2.0-2042504617,Australian road track cost recovery: Some recent findings,
8690427,2-s2.0-105007719562,Modelling the effect of Chinese outward investments on its bilateral exports: Motivation for Belt and Road Initiative,
4708320506,2-s2.0-85129848904,Further Evidence on China’s B&R Impact on Host Countries’ Quality of Institutions,
4503,2-s2.0-85031997194,Economics and Policy Issues,
2110204893,2-s2.0-80053060500,Generation scheduling with emissions trading scheme and transmission capacity constraints,
21713,2-s2.0-85153369403,The relationship between IFRS adoption and foreign direct investments in Gulf Cooperation Council countries,
3723,2-s2.0-85174739593,Measuring Efficacy of the Rural Broadband Initiatives: Evidence from the Housing Market,
25112,2-s2.0-85190747842,From electrification to decarbonization: Insights from Portugal's experience (1960–2016),
4339345166,2-s2.0-105020384537,Acoustic Performance of Ecuadorian Construction Systems: From Analysis to Regulatory Implementation,
35608317,2-s2.0-85092506203,Avoidable mortality by implementing more restrictive fine particles standards in Brazil: An estimation using satellite surface data,
361188735,2-s2.0-86000230863,Do Mandates Deliver Cost Reductions for Energy Storage?,
15198,2-s2.0-85190523060,Revisiting Copenhagen climate mitigation targets,
952923498,2-s2.0-105010433296,Child restraint legislation and injury rate NSW 2001-2019: analysing hospital administration data,
7286,2-s2.0-0031346059,Energy efficiency trends in Canada - an industrial perspective,
4270379789,2-s2.0-105036101745,Carbon Accounting and Climate Change: Leveraging Eco-digitalization and Governance Dynamics for Environmental Sustainability in Emerging Markets,
1982947137,2-s2.0-85096368116,Who benefits from mandatory CSR? Evidence from the Indian Companies Act 2013,
762520,2-s2.0-85215438323,Implications of China's foreign waste ban on the global waste paper trade networks for circular economy and sustainability,
7566,2-s2.0-105036746053,"Evaluating the Correlation Between Telecom Index Performance and Key Metrics: Subscriber Base, ARPU, and FDI Inflows",
261599072,2-s2.0-78650257625,Detecting instability in the volatility of carbon prices,
9731925,2-s2.0-0025446845,From blue angels to variable can rates,
2684057,2-s2.0-0028665913,Setting Effluent Consent Standards,
41362,2-s2.0-105043312267,Grid use and real world fuel consumption gaps in hybrid vehicles,
61261775,2-s2.0-85127428686,Does the Green Finance Pilot Reduce the Energy Consumption Intensity? Empirical Evidence from 30 Provinces in China,
2077,2-s2.0-85042863679,The heterogeneous impacts of low natural gas prices on consumers and the environment,
