document_id,external_id,name,file_path
34536,2-s2.0-85060817311,Integrity of firms’ emissions reporting in China’s early carbon markets,
81642007,2-s2.0-105016462927,The impact of clean heating on urban climate risk: Empirical analysis with double machine learning method,
7406448,2-s2.0-85046159629,Assessing China's “developing a water-saving society” policy at a river basin level: A structural decomposition analysis approach,
43783099,2-s2.0-85139593207,Embodied carbon transfer between China and the Belt and Road Initiative countries,
348763,2-s2.0-85198051732,How does climate regulatory risk influence labor employment decisions? Evidence from a quasi-natural experiment,
693748492,2-s2.0-105027394995,Green finance and firms’ pollution emissions: Evidence from Chinese listed firms,
9609777,2-s2.0-85153067634,The impact of water resource taxes on total factor water efficiency,
43263351,2-s2.0-85194539641,The impact of carbon emission trading schemes on China’s economic inequalities between and within urban and rural areas based on the satellite data: a county-level analysis,
9707790,2-s2.0-85195543276,The Affect of Carbon Emission Trading Markets on Grid Investment Costs,
267820,2-s2.0-85176361385,"DOES CARBON EMISSION TRADING PROMOTE THE APPLICATION OF PATENTS RELATED TO CLIMATE CHANGE? - EVIDENCE FROM 820,000 PATENTS IN CHINA",
1378931,2-s2.0-85193725855,"Saudi Arabia’s Green Vision: Examining the Kingdom’s Path to Sustainability, Covering Energy, Economy, Tourism, and Carbon Dynamics",
742218,2-s2.0-84892851963,Will economic restructuring in China reduce trade-embodied CO2 emissions?,
5109637408,2-s2.0-84991703733,"Comparison of evaluation standards for green building in China, Britain, United States",
1089041,2-s2.0-85147365222,"Asymmetric effect of economic policy uncertainty, political stability, energy consumption, and economic growth on CO2 emissions: evidence from G-7 countries",
5509129,2-s2.0-84877325022,Spanish experience in the integration of wind and solar energy into the electric power system,
17863,2-s2.0-84907712018,Production patterns of packaging waste categories generated at typical Mediterranean residential building worksites,
144669068,2-s2.0-105010919818,Evaluation of Carbon Reduction Effect of the Low-Carbon Policy: Evidence from 47 Low-Carbon Pilot Cities of China,
8584448,2-s2.0-84935473359,H15-177: ROMAIR: Implementation of an air quality modeling and forecasting system in Romania,
530475183,2-s2.0-85111034280,Multiscale interplay of higher-order moments between the carbon and energy markets during Phase III of the EU ETS,
5208,2-s2.0-85113606524,"Evaluating the indoor air quality after renovation at the Greens in Dubai, United Arab Emirates",
675370040,2-s2.0-85082409263,"Straw burning, PM2.5, and death: Evidence from China",
13554,2-s2.0-105000513674,Deterioration or improvement? Total pollution control policy and corporate emission reduction,
63862,2-s2.0-85031909080,Evidence on Whether Banks Consider Carbon Risk in Their Lending Decisions,
585730,2-s2.0-86000451739,The impact of alcohol sales on perceptions of security amongst Brazilian football fans,
70525755,2-s2.0-85209476206,The impact of national land supervision system on urban low-carbon transformation: evidence from China,
1801053768,2-s2.0-105045190617,Moving from principles to practice: A global survey of intermediary reforestation organizations,
11004897,2-s2.0-81855163371,Energy conservation and emissions reduction in China - Progress and prospective,
78358,2-s2.0-85129479984,Technical change and the Common Agricultural Policy,
2285,2-s2.0-84988624730,Exploring the impacts of the EU ETS emission limits on airline performance via the Dynamic Environmental DEA approach,
72818,2-s2.0-84980011809,A new benchmark of energy performance for energy management in U.S. and Canadian integrated steel plants,
8929,2-s2.0-85142094061,Does the creation of healthy cities promote municipal solid waste management? Empirical research in 284 cities in China,
3168073640,2-s2.0-85146959330,Ex-post evaluation of the Danish pesticide tax: A novel and effective tax design,
8671168,2-s2.0-85102983443,Adverse economic geopolitical environment on the worth of Russian oil and gas companies,
73593,2-s2.0-85131363798,Spill-over effect and efficiency of seven pilot carbon emissions trading exchanges in China,
98721698,2-s2.0-85122320301,"Analyzing the effects of green building on housing prices: case study of Kaohsiung, Taiwan",
582444338,2-s2.0-105019696206,Coordination nexus between green finance and resource-economy-environment: Evidence from complex network and spatial analysis in Chinese cities,
81942788,2-s2.0-84900596711,Quantitative assessments of municipal waste management systems: Using different indicators to compare and rank programs in New York State,
1206435,2-s2.0-85171445975,Modeling behavioral factors influencing farmers' willingness to adopt rooftop solar photovoltaic: Empirical evidence from rural China,
4696,2-s2.0-85195683871,Price Jumps of China’s Carbon Market: The View from Market Transactions and Policy Releases,
2752,2-s2.0-85150080598,Design and Analysis of a Carbon Emissions Trading System for Low-Carbon Development in China,
235771337,2-s2.0-84864928977,Ex-post analysis of impacts of the car registration fee in the Czech Republic,
581260,2-s2.0-85088899131,Two-stage DEA model to evaluate technical efficiency on deployment of battery electric vehicles in the EU countries,
45926457,2-s2.0-84870253497,Towards a new kind of technological progress,
479960520,2-s2.0-105009013414,The Dark Side of Growth: Are Shadow Economies Undermining the Global Climate Goal?,
17685525,2-s2.0-84939460749,Renewable energy in zootechnical farms. Economic effects in light of the new legislation introduced in 2012,
5449,2-s2.0-84883141384,Meta-analysis of European heat pump field trial efficiencies,
438516382,2-s2.0-85017219211,Energy Consumption Data as a Decision-making Tool for Energy Efficient Interventions in PA: The Case-study of Turin,
2326,2-s2.0-85099645268,"Implementation, advantages and management of ISO 9001 in the construction industry",
4267016044,2-s2.0-85190849025,Digital divide and environmental pressure: A countermeasure on the embodied carbon emissions in FDI,
57712562,2-s2.0-85190547119,Replacing Business Tax with Value-added Tax and High-quality Development of Export Trade,
37439,2-s2.0-85195282750,Air quality assessment during the low emission zone implementation in Madrid (Spain),
36781,2-s2.0-85047202920,Decreased healthcare resource utilization associated with enhancement of a state graduated driver licensing law,
1247366526,2-s2.0-85084848220,The impact of the tobacco control law on youth tobacco use,
3846,2-s2.0-105020075683,Does low-carbon city pilot policy improve ecological well-being performance? Evidence from 280 cities in China,
4041,2-s2.0-84862260154,Consumer responses towards home energy financial incentives: A survey-based study,
3333853908,2-s2.0-105014169024,"Emerging Asia's move towards a net-zero path: The interplay of environmental threats, energy systems innovation, and vulnerability",
468781398,2-s2.0-70349396960,"Wastewater asset management at the city of Edmonton, Alberta",
881370,2-s2.0-84994921659,Testing Peltzman's Theory of Driver Intensity,
9441126,2-s2.0-85111247193,"A step toward reducing air pollution in top Asian economies: The role of green energy, eco-innovation, and environmental taxes",
6459583,2-s2.0-84921023752,Renewable energy and energy efficiency in Bulgaria,
43944261,2-s2.0-85047868178,Make Water Affordable Again?,
429981554,2-s2.0-84905125242,Scope analysis of sap's Eh&s module in Indian chemical industry (experience report),
367590,2-s2.0-105006412630,Regional Development Assessment and Policy Perspectives on Urban Residential Energy Efficiency Program in Morocco by 2030,
1904776395,2-s2.0-70349618591,Factors influencing the disclosure of greenhouse gas emissions in companies world-wide,
