document_id,external_id,name,file_path
8946,2-s2.0-0026516282,Interstrain cross-reactive idiotypes on monoclonal antibodies to an encephalitogenic myelin basic protein peptide,
34286,2-s2.0-0021622823,MODELLING PROBLEMS IN THE DYNAMIC DESIGN OF AUTOBUSES.,
242147,2-s2.0-85124190668,Optimized Support Vector Regression-Based Model for Solar Power Generation Forecasting on the Basis of Online Weather Reports,
245518,2-s2.0-105017112502,Feasibility Evaluation of Partially Replacing Ordinary Portland Cement with Ferro-Nickel Slag in Ready-Mixed Concrete for Precast Applications,
4572,2-s2.0-85146766847,"Smart Electricity Meter Load Prediction in Dubai Using MLR, ANN, RF, and ARIMA",
833835,2-s2.0-105001641366,"Modeling of Arcing, Scrap Melting, and Temperature Evolution in the Refractory of a Lab-Scale Direct Current-Electric Arc Furnace",
3419744563,2-s2.0-105045376146,Robust data-driven NLMPC for real-time microgrid management under uncertainties and false data injection attacks,
4759394,2-s2.0-18144437665,Wind erosion research by means of a wind tunnel; measures to control wind erosion of soil and other materials for reasons of economy and health.,
79275,2-s2.0-33745378149,Therapeutic and pathogenetic animal models for Dolichos pruriens,
742141,2-s2.0-84879731406,Phonon contribution to the shear viscosity of a superfluid Fermi gas in the unitarity limit,
6169290,2-s2.0-105033496347,Tramadol hydrochloride vs. lignocaine hydrochloride in the extraction of anterior teeth: a randomised comparative study,
149079,2-s2.0-0034590356,Distributed simulation platform for low-altitude penetration system,
7430332,2-s2.0-33846536214,Water allocation policy modeling for the Dong Nai River Basin: An integrated perspective,
9298742,2-s2.0-84960391133,Complementary life cycle assessment of wastewater treatment plants: An integrated approach to comprehensive upstream and downstream impact assessments and its extension to building-level wastewater generation,
646550278,2-s2.0-79957654745,Coordinated control study of STATCOM with algebraic constraints and salient-pole generators excitation of power systems,
32276,2-s2.0-85133561085,"Interplay of energy, dissipation, and error in kinetic proofreading: Control via concentration and binding energy",
907908,2-s2.0-37349020208,Mid-infrared spectroscopy of the Er-related donor state in Si/Si:Er3+ nanolayers,
43242554,2-s2.0-105011704699,Spatiotemporal Variations and Driving Factors of Carbon Emissions Related to Energy Consumption in the Construction Industry of China,
13746,2-s2.0-0017239448,Monitoring of internal contamination among operators involved in the preparation and use of radioactive compounds for medical purposes,
3810534880,2-s2.0-85127061801,Effect of an improved agricultural irrigation scheme with a hydraulic structure for crop cultivation in arid northern Afghanistan using the Soil and Water Assessment Tool (SWAT),
42977066,2-s2.0-85110325276,Launch vehicle fault injection and fault diagnosis based on mil-std-1553b data bus,
2732503917,2-s2.0-85100103367,How to combine and analyze all the data from diverse sources: a multilevel analysis of institutional trust in the world,
639400012,2-s2.0-85206690756,Two-Dimensional Translational Growth and Properties of Long-Seed KDP-Type Crystals,
26901,2-s2.0-105001581651,Effect of Aluminum Powder Combustion on the Underwater Explosion Load Characteristics of CL-20-based Mixed Explosives,
327620,2-s2.0-105032746862,Challenges in the synergistic mitigation of air pollutants and CO2 emissions from China's flat glass industry: A plant-level emission inventory analysis,
766346837,2-s2.0-36049014422,Molecular dynamics simulations of kinetic isotope fractionation during the diffusion of ionic species in liquid water,
9071484,2-s2.0-78649291599,Time related association rules mining with attributes accumulation mechanism applied to large-scale traffic system,
54586,2-s2.0-105016312085,Engineering a biocompatible chitosan/MOF aerogel for hyperbilirubinemia treatment in liver failure,
91688,2-s2.0-85050106449,Landscape analysis via modeling of the city map,
2093245208,2-s2.0-85142819622,Design of Mid-Point Ground with Resistors and Capacitors in Mono-Polar LVDC System,
7946,2-s2.0-0023418330,DEVELOPMENTS IN FIBRE OPTIC SENSORS.,
463522,2-s2.0-105018305615,Decoding RobKiNet: Insights into Efficient Training of Robotic Kinematics Informed Neural Network,
3942439,2-s2.0-34548246494,Pre-treatment of light metale in mixed metal assemblies,
5951231,2-s2.0-85091152631,An efficient certificateless aggregate signature scheme designed for VANET,
89899,2-s2.0-85116004577,Gathering energy of the stray currents in electrified railways environment for power supply,
39377,2-s2.0-85219347161,Explosive pressure test system for energy-containing materials with tiny charges,
502328,2-s2.0-84945588048,Depth Detection of Bond Defects in Multilayered Externally Bonded CFRP-to-Concrete Using Pulse Phase Thermography,
515195,2-s2.0-84891410697,Improvement of the aerodynamic performance by wing flexibility and elytra-hind wing interaction of a beetle during forward flight,
423045,2-s2.0-85216862461,Squirrel search-based optimization of energy storage systems for electric vehicle charging stations,
