document_id,external_id,name,file_path
99060742,2-s2.0-0024899674,Optimal rocket maneuvers in space,
3334785,2-s2.0-84911415044,Protocol to evaluate the impact of yoga supplementation on cognitive function in schizophrenia: A randomised controlled trial,
1691071158,2-s2.0-85111713160,Concrete durability-influencing factors and testing,
45582,2-s2.0-85179755906,A Pulse Wave Velocity Estimation Method for a Wearable Monitoring Device: Feasibility and Preliminary Experimental Results,
827696,2-s2.0-85163710013,Multi-stage Logistics Inventory for Automobile Manufacturing by Random Key-Based GA,
71618,2-s2.0-0001911280,"Cartels, spontaneous price discrimination and international pharmacy retailing",
767630,2-s2.0-105012359992,BLOCKCHAIN: THE NEW ERA OF DIGITAL IDENTIFICATION ON THE INTERNET,
9514490,2-s2.0-0019804034,Controls developing for fugitive emissions,
570636,2-s2.0-85140403499,"The interplay between financial development, electricity consumption and foreign direct investment in the GCC countries: new insights from GMM panel VAR",
997679,2-s2.0-85085307372,Amniotic membrane mesenchymal stem cells labeled by iron oxide nanoparticles exert cardioprotective effects against isoproterenol (ISO)-induced myocardial damage by targeting inflammatory MAPK/NF-κB pathway,
398753,2-s2.0-85056076442,Toward harmonizing ecotoxicity characterization in life cycle impact assessment,
38747601,2-s2.0-85124309472,Corrosion Detection of Structural Reinforcement Based on Artificial Intelligence Technology,
5103222111,2-s2.0-85089993397,Invasive vertebrate eradications on islands as a tool for implementing global Sustainable Development Goals,
2414746,2-s2.0-85168238077,Thyroid axis participates in high-temperature-induced male sex reversal through its activation by the stress response,
943878663,2-s2.0-105029055901,Robust Flow Regulation Using Orifice and J-Valve Combination in Circulating Fluidized Bed Thermal Energy Storage,
90819808,2-s2.0-45549111291,Forecasting manpower demand and supply. A model for the accounting profession in Canada,
14525,2-s2.0-86000432371,Enhancing the 2.7 μm fluorescence emission intensity of Er3+-doped KBa0.94Ca0.06Y(MoO4)3 laser crystal via Nd3+ sensitization and deactivation mechanisms,
89697297,2-s2.0-105037402950,A nonlinear time-delay modeling case study of Tuberculosis transmission in Algeria: 1990–2024,
6747011,2-s2.0-85170432317,Citizen building scientist? The opportunity and challenge of citizen involvement in building retrofits,
15330,2-s2.0-105010695153,Wallace Tree Multiplier Using Reversible Logic With Brent-Kung Adder,
4429879399,2-s2.0-84942474262,Equivalent circuit parameters calculation of a wound rotor brushless Doubly-Fed Machine based on finite element analysis,
95545,2-s2.0-105025134858,"Enhancing the safety, sustainability, and efficiency of airport operations through data-driven trajectory-based simulation and optimization",
499750737,2-s2.0-85119019633,Intelligent Caching in UAV-Aided Networks,
351693,2-s2.0-105019934265,Study on multi-mode failure mechanisms and synergistic energy absorption effects of CFRP composite thin-walled tubes under oblique compression,
